Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Amelioration of Lipid Peroxidation and Antioxidant Enzymes Status in the Serum and Erythrocytes of Phenylhydrazine-Induced Anemic Male Rats: The Protective Role of Artichoke Extract (Cynara scolymus L.)","Cynara scolymus extract protects against PHZ-induced anemia in male rats by reducing oxidative stress and improving hematological parameters.","Milad Alahmoradi, S. Alimohammadi, Hadi Cheraghi",2020,3,"BACKGROUND: Hemolytic anemia is a disorder characterized by the premature erythrocytes destruction. Phenylhydrazine (PHZ) induces oxidative stress and reactive oxygen species (ROS) formation, which causes hemolytic anemia. Cynara scolymus due to its antioxidant compounds, has been used for various therapeutic purposes in traditional medicine. OBJECTIVES: The present study was designed to evaluate the effects of Cynara scolymus extract on PHZ -induced anemia in male rats. METHODS: Hemolytic anemia was induced by intraperitoneal injection of PHZ (40 mg/kg) for 2 days. Thirty male Wistar rats were divided into five groups. Group 1 (normal control). Group 2 (anemic control) received only PHZ. The groups 3 to 5 were injected with 100, 200, 400 mg/kg of the Cynara scolymus by gavage, respectively, daily from day 2 to day 15 after PHZ administration. At the end of the treatment period, blood samples were collected to assess hematological parameters, malondialdehyde (MDA) level and antioxidant enzymes activity, including superoxide dismutase (SOD) and total antioxidant capacity (TAC) in the serum and erythrocytes. RESULTS: In anemic rats, serum and erythrocytes MDA level increased, but SOD and TAC activity de- creased significantly when compared with control group (p ≤ 0.05). These changes were ameliorated by treat- ment with Cynara scolymus at different doses (p ≤ 0.05). Also, improvement in several hematological param- eters was observed in anemic rats after administration of Cynara scolymus (p ≤ 0.05). CONCLUSIONS: Cynara scolymus extract exhibits protective property against PHZ-induced oxidative stress presumably due to antioxidative activity.","rct","Iranian Journal of Veterinary Medicine","2","10.22059/ijvm.2020.291552.1005038","https://consensus.app/papers/amelioration-of-lipid-peroxidation-and-antioxidant-alahmoradi-alimohammadi/5f20587d01145d6e9a23cfd4ec874797/"
"Biochemical Potentials of Ethanol Leaf Extract of C. aconitifolius in Phenylhydrazine Induced Anemia in Rats","Ethanol leaf extract of Cnidoscolus aconitifolius (EECA) leaves effectively restores haematological parameters in phenylhydrazine-induced anemic rats, with 100 mg/kg bodyweight yielding the best results.","O. C. Ezeigwe, Valentine Nwobodo, E. L. Iloanya",2025,0,"Aim: Anemia is a common health challenge caused by a decrease in hemoglobin concentration, packed cell volume and red blood cells. Some medicinal plants have antianaemic properties and can be used as a remedy to treat anemia. This study investigates the anti-anemic properties of ethanol extract of Cnidoscolus aconitifolius (EECA) leaves in phenylhydrazine-induced anemic rats. 
Methods: Acute toxicity (LD50) was done using Lorke’s method. Twenty-five (25) male Wistar albino rats were randomly divided into five groups of five rats each and used for the antianemic studies. Group A, B, and C served as the normal control, anemic untreated (negative control), and anemic group treated with 1ml/kg emzoron (positive control), respectively. Groups D and E were treated with 100mg/kg and 200mg/kg of ethanol extract of C. aconitifolius respectively by oral gavage once a day for 14 days. Anemia was induced by intraperitoneal injection of 20 mg/kg phenylhydrazine for four consecutive days in groups B to E. At the end of 14 days treatment, biochemical analysis were done using standard diagnostic methods and haematological parameters were analysed using an automated haematology analyzer (Mindray-BC-5300). 
Results: The result of the LD50 study showed that the extract may not be very toxic. The extract was able to restore the impaired biochemical parameters caused by phenylhydrazine to normal after 14 days of treatment. The antianemic effects of EECA was demonstrated by significant increases (p<0.05) in the hemoglobin (HGB), packed cell volume (PCV) and red blood cell (RBC) count of the extract-treated groups after 14 days of treatment compared to the anemic untreated control group. There was a better increase in the hemoglobin levels of 100 mg/kg EECA (13.40±0.35) compared to 200 mg/kg EECA (12.50±0.45). Also, the packed cell volume increased more in 100 mg/kg EECA (40.97±0.87) compared to 200 mg/kg EECA (38.73±1.63). A better increase was observed in the red blood cell count of 100 mg/kg EECA (5.83±0.35) compared to 200 mg/kg EECA (5.55±0.44). 
Conclusion: The EECA was well tolerated by the animals as was seen from the results of the biochemical parameters. The extract also improved the haematological parameters of the animals. The animals that were treated with 100 mg/kg bodyweight yielded a far much better result by totally restoring the haematological parameters of the phenylhydrazine-induced anemic rats to normal without any observable alterations in the biochemical parameters investigated.","rct","International Journal of Biochemistry Research &amp; Review","","10.9734/ijbcrr/2025/v34i41017","https://consensus.app/papers/biochemical-potentials-of-ethanol-leaf-extract-of-c-ezeigwe-nwobodo/d031ab5f351d554a8e241ead1247f9b1/"
"Evaluation of the effect of methanol leaf extract of Amaranthus spinosus on hematological and serum electrolytes level in phenylhydrazine induced anemia in wistar albino rats","Methanol leaf extract of Amaranthus spinosus is not toxic and could be helpful in treating anemia without causing significant changes in potassium, sodium, or haemoglobin levels.","N. Andrew, M. Nkechi, Nwaka Chinyere, Amu Paschal",2022,0,"The study was carried out to evaluate the effect of methanol leaf extract of Amaranthus spinosus on hematological and serum electrolytes level in phenylhydrazine induced anemia in wistar albino rats. The twenty five (25) albino rats weighing 155-160g were used for the study. They were allowed to acclimatize for one week with free access to feed and water. After acclimatization, they were randomly distributed into five groups (A, B, C, D and E) of 5 rats each. The administration of the leaf extract was oral with the aid of an intubation tube. The groups received different doses of methanol extract of the plant, Amaranthus spinosus as follows: Group A: was normal control group administered normal saline and feed. Group B: was (positive control) group received 10mg/kg body weight of phenylhydrazine (untreated). Group C: was (standard control) group administered with phenylhydrazine and treated with Hemoglobin 12 (standard drug). Group D: was induced anaemia and were treated with 200mg/kg body weight of methanol extract of Amaranthus spinosus leaves, and Group E: was induced anaemia and were treated with 400mg/kg body weight of methanol extract of Amaranthus spinosus leaves. At the end of 28 days the blood samples were collected from rats through the ocular vein for biochemical and haematological assays using standard biochemical methods. The results also revealed no significant difference (P>0.05) in Potassium (K + ) and Sodium (Na + ) concentration of rats treated with methanol leaf of Amaranthus spinosus when compared to normal control group. However, there was significant increase (P>0.05) in chloride (Cl - ) with the rats treated with the plant extract when compared to the normal control group. The results of haematological studies showed no significant difference (P>0.05) in Packed cell volume (PCV),and Haemoglobin (HB) levels in treated rats when compared to normal control groups. The result of the study therefore, suggests that the leaf extracts are not toxic and could be helpful in treatment of anemia","rct","","","","https://consensus.app/papers/evaluation-of-the-effect-of-methanol-leaf-extract-of-andrew-nkechi/28bc3e5aa0155e649a7fa99c55df6f55/"
"Effects of Atriplex hortensis Hydroalcoholic Extract on Phenyl-hydrazine Induced Hemolytic Anemia in Rat","Atriplex hortensis hydroalcoholic extract effectively inhibits hemolytic anemia induced by phenyl-hydrazine in rats, improving blood SOD activity and hematological parameters.","Parham Mardi, H. Huseini, M. Ahvazi, B. Tavakoli-Far",2020,3,"Hemolytic anemia is a hematological disorder occurs owing to the excessive hemolysis of red blood cells. Atriplex hortensis (A. hortensis) leaves are traditionally used for prevention and treatment of anemia. The present study was performed to assess the effects of A. hortensis extract on phenyl-hydrazine induced hemolytic anemia in rat. Thirty-six, six months old, male Wistar rats were randomly divided into six groups of 6 rats each. One group received normal saline and other 5 groups received 40 mg/kg phenyl-hydrazine (PHZ) intraperitoneally at baseline and on day 33 for induction of hemolytic anemia. Four PHZ treated groups received daily oral doses of 50, 100, 200, and 300 mg/kg/day A. hortensis extract for 31 days and one PHZ treated group kept as control received saline accordingly. Blood superoxide dismutase (SOD) activity and blood hematological parameters such as hematocrit (HCT), red blood cell (RBC), reticulocyte (Ret) and hemoglobin (HGB) were determined in all groups after 34 days of the study. The blood RBC, HGB and HCT parameters were significantly lowers and Ret increased significantly in PHZ control group compared with the normal saline treated group. In A. hortensis extract (100, 200, and 300 mg/kg/day) treated groups the blood HCT, RBC and HGB parameters were significantly increased and Ret decrease, compared with PHZ control group,  The blood SOD enzyme activity was significantly improved in all A. hortensis treated groups compared with PHZ control group. A. hortensis extract improved blood SOD activity and blood HCT, RBC, Ret and HGB parameters indicating inhibition of hemolytic anemia induced by phenyl-hydrazine in rat.","rct","","","10.22092/jmpb.2020.352222.1276","https://consensus.app/papers/effects-of-atriplex-hortensis-hydroalcoholic-extract-on-mardi-huseini/6dcd852f06745a02ab9da8403fa14695/"
"Terminalia catappa attenuates phenylhydrazine-induced anaemia and hepato-renal toxicity in male Wistar rat by boosting blood cells, modulation of lipoproteins and up-regulation of in vivo antioxidant armouries","Terminalia catappa leaf extract reduces anaemia and hepato-renal toxicity in male Wistar rats by boosting blood cells, modulating lipoproteins, and up-regulating antioxidant defenses.","E. Umoren, J. Asiwe, I. Okon, Amangieka Albert Levi, C. Nyenke, A. C. Nnamudi, E. Modo, A. Bassey, G. Nwikue, O. Etim",2023,6,"Aim: This study investigated the haematinic, antihyperlipidaemic, hepato-renal protective effects of Terminalia catappa aqueous leaf extract on male Wistar rats exposed to phenylhydrazine toxicity.

Methods: Animals were exposed to phenylhydrazine (PHZ) 50 mg/kg intraperitoneal for two consecutive days thereafter, treated with T. catappa extract (100 mg/kg and 200 mg/kg) orally for 21 days. After the experimentation, animals were sedated with ketamine (70 mg/kg) and euthanized by cervical dislodgement. Blood and organs were collected for haematology and biochemical studies following standard laboratory methods.

Results: Our study showed that T. catappa significantly increased erythrocytes, haemoglobin, haematocrit and high density lipoprotein as well as down-regulating leukocytes, thrombocytes, ALP AST, ALT creatinine, urea, total cholesterol as well as low density lipoprotein. The liver, kidney and spleen antioxidant defence were also up-regulated against the adverse effect caused by phenylhydrazine exposure.

Conclusion: Terminalia catappa attenuated Phenylhydrazine-induced anaemia and hepato-renal toxicity in male Wistar rat by boosting blood cells, modulation of lipoproteins and up-regulation of in vivo antioxidant armouries.","non-randomized experimental study","Biomarkers","3","10.1080/1354750x.2023.2166588","https://consensus.app/papers/terminalia-catappa-attenuates-phenylhydrazineinduced-umoren-asiwe/e84a046b987e50099fc9156cf76c7683/"
"Therapeutic efficacy of Punarnavadi mandura against phenylhydrazine-induced hemolytic anemia in rats","Punarnavadi Mandura, a traditional Ayurvedic herbomineral preparation, effectively reverses pathological changes associated with hemolytic anemia in rats, potentially contributing to erythropoiesis and inhibiting TNF- activity.","Kayalvizhi Rajendran, D. Chellappan, Vigneshwar Ramakrishnan, U. Krishnan",2024,7,"","non-randomized experimental study","Journal of Traditional and Complementary Medicine","1","10.1016/j.jtcme.2024.03.017","https://consensus.app/papers/therapeutic-efficacy-of-punarnavadi-mandura-against-rajendran-chellappan/d0a75e0f8d3951fd973553f41f04eab7/"
"Haematinic Effects of Aqueous Extract of Lophira lanceolata Leaves in Phenylhydrazine-induced Anaemia in Wistar Rats","The aqueous extract of Lophira lanceolata leaves possess haematinic activity, making it useful in managing anaemia.","Iserhienrhien Lucky Osafanme, Sheneni Victor Duniya, Nweje-Anyalowu Paul Chukwuemeka, O. Mercy, I. Adejoh",2019,8,"Aim: The haematinic activity of the aqueous extract of Lophira lanceolata leaves was investigated using rat model of phenylhydrazine-induced anaemia. 
Methods and Results: Red Blood Cell (RBC) count, Haemoglobin (Hb) concentration and Packed Cell Volume (PCV) were analysed as indices of anaemia. Following phenylhydrazine administration to rats at a dose of 10 mg/kg for 8 days, a significant decrease (P<0.05) in the haematological parameters was observed indicating anaemia. However, treatment with graded doses (200, 400 and 800 mg/kg) of the aqueous extract of Lophira lanceolata leaves produced a significant (P<0.05) increase in the RBC count, Hb concentration and PCV time- and dose- dependently. 
Conclusion: It was concluded that Lophira lanceolata leaves possess haematinic activity, making it useful in the management of anaemia.","non-randomized experimental study","Asian Journal of Research in Biochemistry","","10.9734/ajrb/2019/v4i130057","https://consensus.app/papers/haematinic-effects-of-aqueous-extract-of-lophira-osafanme-duniya/36a17383bdbb57c7b8184488c4d462a9/"
"HPLC profiling and studies on Copaifera salikounda methanol leaf extract on phenylhydrazine-induced hematotoxicity and oxidative stress in rats","Copaifera salikounda methanol leaf extract (CSMLE) possesses anti-anemic potentials and attenuates spleenotoxic effects of phenylhydrazine in rats.","C. Aloke, Chinedum Uche Emelike, Nwogo Ajuka Obasi, Patience Nkemjika Ogbu, Chuks Oswald Edeogu, Chinedu Godwin Uzomba, O. Ekakitie, Adeolu Adewale Iyaniwura, Chukwubuike Cyprian Okoro, Blessing Peter Okey, Glory Ginikachukwu Aninjoku, Bature Charles Ushahemba",2021,9,"","","Arabian Journal of Chemistry","1","10.1016/j.arabjc.2021.103428","https://consensus.app/papers/hplc-profiling-and-studies-on-copaifera-salikounda-aloke-emelike/adda43dab6735ccd9b144b9981ebc3bd/"
"Protective effect of quercetin compared to silymarin against phenylhydrazine induced anemia","Quercetin has a protective effect in phenylhydrazine-induced hemolytic anemia and is a more potent antioxidant than silymarin.","R. Baker, Fatma A. Gad, K. Fararh",2021,2,"This study has developed to evaluate the protecting effect of Quercetin in phenylhydrazine (PHZ) induced hemolytic anemia comparing to traditional used antioxidant (Silymarin). For that 45 male white Albino rats were randomly allocated into 5 groups, control group, phenylhydrazine group (PHZ) which injected by PHZ (20 mg/kg b.w, I/P at day 7th, 8th and 9th), Quercetin+PHZ group (Quercetin, 50 mg/kg b.w per os every day for 16 days), silymarin+PHZ group (Silymarin, 100 mg/kg b.w per os every day for 16 days) and Quercetin group. Serum samples of these groups were collected after 3, 5 and 10 days after injection of PHZ and used for biochemical and oxidative stress analysis. Also, specimens from spleen were collected for histopathologial examination. The results of this study showed that, Quercetin ameliorated phenylhydrazine effect on total protein, total bilirubin, direct and indirect bilirubin, LDH, iron and ferritin levels. Also, Quercetin improved levels of oxidative stress parameters GSH, SOD and MDA, and had protective effect on tissue of spleen. Therefore, Quercetin had protective effect in experimental phenylhydrazine-induced hemolytic anemia. Also it was more potent antioxidant than Silymarin.","rct","Benha Veterinary Medical Journal","","10.21608/bvmj.2021.64767.1343","https://consensus.app/papers/protective-effect-of-quercetin-compared-to-silymarin-baker-gad/aaabfcfbdbf35615818af3e60b102720/"
"Whole blood exchange ameliorates acute hemolytic anemia by reducing inflammation and oxidative stress in rats","Whole blood exchange effectively reduces mortality and improves anemia in drug-induced hemolytic anemia by suppressing oxidative stress and inflammation in rats.","Siya Pei, Yanjie Wang, Run Yao, Zhimin Zhang, Wenyu Yin, Ning Li",2025,2,"Hemolytic anemia (HA) is characterized by massive destruction of red blood cells (RBCs) and insufficient oxygen supply, which can lead to shock, organ failure, even death. Recent studies have preliminarily demonstrated the therapeutic effectiveness of whole blood exchange (WBE) in the management of acute hemolytic anemia and exhibited potential for reducing the duration of corticosteroid treatment, while the underlying mechanism of WBE therapy was not investigated in preclinical study. Hence, we investigate the therapeutic mechanisms of WBE in HA through established continued WBE therapy in rats creatively. This study aims to examine the mechanism of WBE on phenylhydrazine hydrochloride-induced hemolytic anemia in SD rats to aid the development of therapeutics for drug-induced hemolytic anemia (DIHA). Research results demonstrated the efficacy of WBE therapy in reducing mortality and ameliorating anemia in DIHA, as evidenced by significant improvements in representative hematological parameters such as RBCs, hemoglobin, and lactate dehydrogenase levels. Additionally, WBE indicated the ability to suppress oxidative stress and inflammation, and it mitigated organ damage and biochemical function by stabilizing hepatic ferroportin levels and decreasing organ iron content. These results highlighted the effectiveness of WBE as an innovative treatment for HA, furnishing evidence to prioritize it over traditional blood transfusion for severe anemias.

© 2025 The Author(s). The FASEB Journal published by Wiley Periodicals LLC on behalf of Federation of American Societies for Experimental Biology.","non-randomized experimental study","The FASEB Journal","1","10.1096/fj.202401748rr","https://consensus.app/papers/whole-blood-exchange-ameliorates-acute-hemolytic-anemia-pei-wang/bfe041241c215ee3bae8012c38336723/"
"Grape seed oil protects against phenylhydrazine-induced hemolysis in rats","Grape seed oil effectively reduces phenylhydrazine-induced anemia in rats due to its antioxidant, anti-inflammatory, and ferritin storage properties.","Reema Turkistani",2026,1,"Hemolytic anemia leads to mortality and morbidity if untreated. We evaluated the potential of Grape Seed Oil (GSO) against phenyl hydrazine (PHZ)-induced hemolytic anemia in rats. In this study, thirty male albino rats aging four weeks were randomly allocated to five groups with six rats per group: control (Group I), received a single dose of 0.1 mol/L citrate buffer. Group II, normal rats received GSO orally daily for 30 days. Groups (III-V): Rats received PHZ dissolved in dimethyl sulfoxide (DMSO) i.p, at dose of 10 mg/kg for 4 days. Rats in group IV and V were treated orally daily with GSO starting from day 6 for one month at 2 mL/kg body weight (bw) or 4mL/kg bw, respectively. The analysis of GSO by gas chromatography/mass spectrometry (GC/MS ) showed the presence of 1-Eicosanol, Behenic alcohol, 2-Piperidinone, N-[4-bromo-n-butyl]-, 2,6-Octadiene, Pentanoic acid, 10-undecenyl ester, 1-Hexacosanol and Undec-10-ynoic acid, dodecyl ester. In addition, different amount of fatty alcohol as  1-Heptacosanol. It was concluded that GSO ameliorates PHZ-induced anemia in rats. The effect of GSO was due to its phytochemical components which enhance antioxidant capacity and anti-inflammatory effect. In addition, GSO increased ferritin storage and transferrin. We recommend the isolation of the compounds and performing mechanistic studies of their mode of action.","rct","Journal of Biological Research - Bollettino della Società Italiana di Biologia Sperimentale","","10.4081/jbr.2026.14262","https://consensus.app/papers/grape-seed-oil-protects-against-phenylhydrazineinduced-turkistani/936a26685dff5627ab936608372d4ac9/"
"Anti-Anemic Potential of a Herbal Recipe Against Phenylhydrazine-Induced Anemia in Rats","A herbal recipe composed of Xylopia aethiopica, Zanthoxylum leprieurii, and Harungara madagascariensis effectively treats phenylhydrazine-induced anemia in rats, increasing hemoglobin, red blood cell count, and hema","Tatiana Kangah Mireille Kple, Joel Akakpo-Akue, Konan Armand Marcelin Kouassi, S. Ouattara, Gbe Kouakou N’Dri Ange Konan, Diane Koulai, Larissa Adjoua Kouadio, Chiaye Claire Antoinette Yapo-Crezoit, Adou Koffi Mattieu Kra, Allico Joseph Djaman",2023,3,"Anemia is characterized by an abnormal decrease in the level of hemoglobin or the number of red blood cells in the blood. It is a public health problem that mainly affects pregnant women and young children. In the present study, the objective was to evaluated the anti-anemic potential of a recipe composed of three medicinal plants, <i>Xylopia aethiopica </i>(Dunal) A. Rich<i>, Zanthoxylum leprieurii (GUILL) </i>and<i> Harungara madagascariensis (LAM), </i>used to treat sickle cell anemia in rats. Aqueous and hydroethanol extracts of recipe composed were first prepared and quantitative phytochemical tests were carried out. Then, the anti-anemic activity of the recipe extracts was assessed. The anemia was induced in animals by intraperitoneal injection of phenylhydrazine at a repeated dose of 40 mg/kg bw for two days. Treatment was carried out with the aqueous and hydroethanol extracts of the plant recipe at doses of 400 and 800 mg/kg bw. The obtained results indicated that recipe composed contains total phenols (43.31±0.92 mg GAE/g and 33.82±0.6 mg GAE /g of dry weight), total flavonoids (17.07±0.89 mg QE and 19.76±1.15 mg QE/g of dry weight) and total tannin (8.65±0.01 mg QE and 26.5±0.95 mg Cat E/g of dry weight) in decocted and hydroethanol extracts respectively. The anemia was effectively corrected after 21 days of oral administration of the extracts to the rats. The extracts significantly increased hemoglobin (P < 0.05), red blood cell count (P < 0.001), and hematocrit (P < 0.01) as early as the 7<sup>th</sup> days of treatment compared with untreated controls. These results show that the plant recipe composed of <i>Xylopia aethiopica, Zanthoxylum leprieurii </i>and<i> Harungara madagascariensis </i>possess antianemic properties.","non-randomized experimental study","Journal of Diseases and Medicinal Plants","","10.11648/j.jdmp.20230902.12","https://consensus.app/papers/antianemic-potential-of-a-herbal-recipe-against-kple-akakpo-akue/61e2dec3a527532f82004e1552746f18/"
"Hematological and Morphological Analysis of the Erythropoietic Regenerative Response in Phenylhydrazine-induced Hemolytic Anemia in Mice","Phenylhydrazine-induced hemolytic anemia in mice shows a coordinated extramedullary tissue response, with anemia recovery depending on time and dose applied.","M. Roqué, Cecilia DÂ´Anna, C. Gatti, T. Veuthey",2014,17,"In this study we developed a mouse model of Phenylhydrazine (PHZ) -induced hemolytic anemia to studyÂ  erythropoietic regenerative response through clinical, pathological, and morphological studies. HemolyticÂ  anemia was induced in female mice (CF1) using PHZ at a wide range of doses (up to 100 mg/Kg) on daysÂ  0 and 2. Hemolytic anemia was observed at 60 mg/kg PHZ on day 4 and was evidenced by decreased HCTÂ  (34.3Â±0.28%), reticulocytosis (51.6Â±2.10%), anisocytosis, poikilocytosis, leukocytosis, and increasedÂ  Heinz body count. A time-course and dose-dependence analysis of the regenerative response was performed.Â  HCT decreased on days 2 and 4 in a dose-dependent manner, returning to basal levels on day 8.Â  PHZ only induced reticulocytosis (day 4) at the highest doses tested (60-100 mg/kg). Heinz body formationÂ  was dose-dependent. These changes were accompanied by splenomegaly and splenic erythroid hyperplasia.Â  Results revealed that the presence of erythroblastic islands was most clear in the spleen, followed by theÂ  liver and kidney. SEM showed Heinz body-containing erythrocytes and spherocyte-like erythrocytes.Â  Anemia recovery results from coordinated action of extramedullary tissues depending on the time postÂ  injection and the dose applied. In conclusion, this mouse model allowed us a better understanding ofÂ  murine erythropoietic regenerative response.Â","non-randomized experimental study","Scandinavian Journal of Laboratory Animal Science","4","10.23675/sjlas.v35i3.149","https://consensus.app/papers/hematological-and-morphological-analysis-of-the-roqu%C3%A9-d%C3%A2%C2%B4anna/3d77b056f08959609667c276f010ff9e/"
"Response of chickens with different hemoglobin genotypes to phenylhydrazine-induced anemia. 2. Hematology.","Phylhydrazine-induced anemia in chickens with different hemoglobin genotypes is similar, indicating that its effects on hematological parameters are similar across different genotypes.","F. Stino, K. Washburn",1970,13,"THE meager reports published on the effect of phenylhydrazine on hematology of animals indicate that it acts as a powerful hemolytic agent resulting in severe anemia. A single injection of phenylhydrazine hydrochloride into 6-week old chicks caused severe anemia (Saxena and Kumar, 1960). A 7-day period elapsed before the hematological parameters returned to normal. A single massive injection of phenylhydrazine hydrochloride in rats was observed to result in a rapid and drastic anemia (Tobiska and Brada, 1965). The objective of this experiment was to report the effects of feeding and injecting phenylhydrazine hydrochloride on the hematological parameters of chickens and to determine if the hematological responses of chickens with mutant hemoglobin types was similar. MATERIALS AND METHODS The source of birds and the experimental design are similar to that of paper one of the series (Stino and Washburn, 1970). The hematological parameters which were measured in the present study included:…","non-randomized experimental study","Poultry science","1","10.3382/ps.0490114","https://consensus.app/papers/response-of-chickens-with-different-hemoglobin-genotypes-stino-washburn/c4d563282bfa56eeb6868761bf62bc6a/"
"The anti-anemic effect of dried beet green in phenylhydrazine treated rats","Feeding 5% dried beet green for 42 days is safe, non-toxic, and reduces anemia in phenylhydrazine-treated rats.","S. Elaby, J. Ali",2018,22,"Phenylhydrazine (PHZ) and its derivatives were used firstly as antipyretics but the toxic action on red blood cells made their use dangerous. The aim of this study was to estimate the contents of iron and vitamins in different parts of beetroot as root and beet green (leave and stalk together) as well as their ethanol extracts. Then, the biochemical evaluation for the highest iron and vitamins contents as an anti-anemic effect against anemic rats caused by phenylhydrazine were studied. Anemia induction caused by intraperitoneal injection of phenylhydrazine at 40 mg/kg for 2 days. Rats were randomly divided into four groups (n=10/group). Group, I fed a standard diet (normal control). Group II fed standard diet contained 5% dried beet green for normal rats. Group III fed a standard diet for anemic rats. Group IV fed a standard diet containing 5% dried beet green for anemic rats. It was assayed the complete blood count (CBC): red blood cell (RBC) count, hemoglobin concentration (Hb) and haematocrit percentage (HCT) as indices measured of anaemia as well as white blood cell (WBC) count at the third day (D3), twenty-one day (D21) and forty-two day (D42). Also, the activity of serum aspartate aminotransferase (AST), alanine aminotransferase (ALT), alkaline phosphatase (ALP), the levels of serum urea, uric acid, creatinine and malondialdehyde (MDA), plasma hydrogen peroxide (H2O2) and total antioxidants capacity (TAC) contents were analyzed according to manufacturer's instructions. The dried beet green is a rich source of iron and vitamins contents. After feeding on standard diet containing 5% dried beet green for anemic rats, showed that levels of RBC, HB and HCT were increased and the WBC count was improved compared to anemic control group. The activity of ALT, AST, and ALP, the levels of serum urea, creatinine and MDA and plasma H2O2 content were significantly ameliorated while the TAC was significantly increased compared to the anemic control group. In addition, the results of the histological examination coincided with the results of blood analysis. We conclude that nutrition of 5% dried beet green for forty-two days is safe, non-toxic and reduces anemia.","rct","Archives of Pharmaceutical Sciences Ain Shams University","","10.21608/aps.2018.18735","https://consensus.app/papers/the-antianemic-effect-of-dried-beet-green-in-elaby-ali/7c4c2189b75d577fbff23ae63b330320/"
"PENINGKATAN KADAR HEMOGLOBIN DENGAN EKSTRAK BIT MERAH (Beta vulgaris L) PADA TIKUS Rattus norvegicus BUNTING ANEMIA","Giving red beet extract to pregnant rats with anemia can significantly increase hemoglobin levels.","Dewita Dewita, N. Prihatin, Jasmiati Jasmiati",2023,2,"Anemia is a major community health problem and is often found in communities and countries, especially in developing countries including Egypt and Saudi Arabia. norvegicus anemia. The study design was a pure experimental design with a pre-posttest control group design on 30 pregnant Rattus norvegicus white rats which were divided into 5 treatment groups randomly. There were 5 treatment groups, namely the negative control group, the positive control group was only induced into 5 treatment groups randomly. There were 5 treatment groups, namely the negative control group, the positive control was only induced, treatment I was induced by phenylhydrazine, treatment I was induced by phenylhydrazine with a dose of 0.04 mg/kg/BW + Red beet extract 150 mg/KgBW, treatment II was induced by phenylhydrazine. with a dose of 0.04 mg/kg/BW + red beet extract 300 mg/KgBW and treatment III was induced by phenylhydrazine at a dose of 0.04 mg/kg/BW + red beet extract was given 450 mg/KgBW. Samples were selected according to inclusion criteria, namely pregnant female white rats, female, 2-3 months old, body weight 120-200 grams, healthy and not anatomically deformed. Analysis of the data used is one-way ANOVA. there was a significant difference between data on hemoglobin levels of pregnant rats before and after treatment in the negative control group, treatment I and treatment II with p value <0.05. Giving red beet extract to pregnant rats with anemia can increase hemoglobin levels.","rct","Jurnal Ilmiah Kebidanan Imelda","","10.52943/jikebi.v9i1.1182","https://consensus.app/papers/peningkatan-kadar-hemoglobin-dengan-ekstrak-bit-merah-dewita-prihatin/42a2a0a6a07053aa84f0ae133bb8bbfd/"
"Inhibition of Phenylhydrazine-induced Hematotoxicity by Bioconverted Ginsenosides","Bioconverted ginsenosides can prolong erythrocyte life span and increase erythrocyte count, making them a promising drug candidate for treating phenylhydrazine-induced anemia.","Yuseong Chung, Kang min Kim, J. Kang",2023,0,"Aim: To identify the inhibition of Phenylhydrazine (PHZ)-induced hepatotoxicity and anemia by bioconverted ginsenosides. Materials and Methods: We examined the potential benefits of bioconverted ginsenosides on anemia in a phenylhydrazine-induced rat model and described the prolonging effect of erythrocyte life span by focusing on compound K that was confirmed through ex vivo experiments. Results: Hematological analysis demonstrated that all groups treated with bioconverted ginsenosides showed significant recovery results. In the ex vivo experiments, compound K was treated in stored blood, and the erythrocytes half-life was 45 days, 15 days longer than when not treated in blood. In the ICP-OES assay, PHZ-induced erythrocyte hemolysis was significantly inhibited by bioconverted ginsenosides. Conclusion: Based on the present results, it has been demonstrated that bioconverted ginsenoside aids in prolonging the erythrocyte life span and increasing erythrocyte count in vivo. Thus, this material has the potential to develop as a promising drug candidate in the future.","non-randomized experimental study","Indian Journal of Pharmaceutical Education and Research","3","10.5530/ijper.57.4.136","https://consensus.app/papers/inhibition-of-phenylhydrazineinduced-hematotoxicity-by-chung-kim/719ae5f418475f43b477dcc03a9c3295/"
